name,description
Forbes Archive,"The Forbes Archive Includes indexing, abstracting and full-text for the complete archive of Forbes, beginning with its first issue in 1917 and ending with December 2000.<br />  <br />  Availability: Full-text <br />  Date Coverage: 1917 - 2000"
Foreign Broadcast Information Service (FBIS) daily reports 1974-1996,
"Foreign Office Files for the Middle East, 1971-1981","A collection of primary documents including economic analyses, annual reviews, diplomatic correspondence and dispatches, etc. The collection addresses the policies, economies, political relationships and significant events of the Middle East during the 1970s. It also covers conflicts such as the Arab-Israeli War, the Lebanese Civil War and the Iranian Revolution. It includes documents, essays and maps. <br />  Availability: Full-text<br />  Date Coverage: 1971-1981<br />  <br />  Commercial interests are also scrutinized, with in-depth analyses of Middle East nations’ economic stability and reviews of international arm sales policies. The activities of oil producing nations such as Saudi Arabia are closely monitored, with particular reference to the Gulf States and members of OPEC."
Forest Science Collection,
Forestry Compendium,"Published by CAB International, Forestry Compendium is a compilation of knowledge on forestry with worldwide coverage on tropical, subtropical, temperate and boreal tree species of major economic importance. This compendium includes datasheets, pictures, bibliographic records, full-text of journal and conference articles, and an interactive multilingual glossary.<br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage:  1700s to present"
Fortune,"Fortune covers comprehensively the business field, including specific companies and business trends, tech innovation prominent business leaders, and new ideas shaping the global marketplace, and it is particularly well known for its exceptionally reliable annual rankings of companies.<br />  <br />  Coverage: May 2014 - Present"
"French Mandate in The Lebanon, Christian-Muslim Relations, and the U.S. Consulate at Beirut, 1920-1941","A collection of primary documents consisting of correspondence and telegrams received and sent by the American consular post in Beirut. Topics covered include the protection of interests of American citizens, foreign trade, shipping and immigration. Beirut post provides a unique look into the French Mandate. The collection includes unique materials on the Druse Rebellion of 1925 and other religious conflicts.   <br />  Availability: Full-text<br />  Date Coverage: 1920-1941<br />  <br />  Hint: To access the collection, go to ‘Available Collections from Archives Unbound’ box and select “French Mandate in The Lebanon …” from the list."
Gale Presents: Peterson’s Test Prep,"In addition to core products for college search and selection, test preparation, and financial aid, Petersons offers online services for career exploration as well as resume writing."
Gale Primary Sources,"Gale Primary Sources is a universal research experience that combines Gale's digital archives in a single cross-search interface. The platform allows the use of multiple search options and research tools to search across the variety of archives accessible to the subscribing institution. Users may select one, all, or a combination of accessible databases to search.<br />  <br />  Availability: Full-text<br />  Date Coverage: Varies"
"Gazetteer of the Persian Gulf, Oman and Central Arabia","A primary source compiled and written by John Gordon Lorimer (1870-1914), an official of the Indian Civil Service. The Gazetteer is an important source for the study of the modern Gulf region from the 17th to the early 20th century and was intended as handbook for British policy makers and agents in the area. <br />  <br />  Availability: Full-text<br />  Date Coverage: Varies"
GeoRef,"Produced by the American Geological Institute, GeoRef is a comprehensive geosciences database containing over 2.8 million bibliographic records to the geoscience literature of the world.<br />  Over 3,500 journals are reviewed for indexing in the GeoRef database as well as books, maps, government reports, conference papers, and theses and dissertations. <br />  <br />  Availability: Bibliographic citations<br />  Date Coverage:  1800 to present"
